feature_id,product_id,feature_name,feature_description,feature_tier,feature_value_weight
F00569,P0146,Segmentation (Advanced DNS Security),Differentiator capability providing segmentation within Advanced DNS Security — Essentials.,Differentiator,2
F00570,P0146,Compliance Mapping (Advanced DNS Security),Differentiator capability providing compliance mapping within Advanced DNS Security — Essentials.,Differentiator,2
F00571,P0147,Sandboxing (Attack Surface Management),Core capability providing sandboxing within Attack Surface Management — Advanced.,Core,3
F00572,P0147,Policy (Attack Surface Management),Adjacent capability providing policy within Attack Surface Management — Advanced.,Adjacent,1
F00573,P0147,Alert Triage (Attack Surface Management),Differentiator capability providing alert triage within Attack Surface Management — Advanced.,Differentiator,2
F00574,P0147,Alert Triage (Attack Surface Management),Adjacent capability providing alert triage within Attack Surface Management — Advanced.,Adjacent,1
F00575,P0148,Reporting (AI Runtime Security),Core capability providing reporting within AI Runtime Security — Premium.,Core,3
F00576,P0148,Data Classification (AI Runtime Security),Adjacent capability providing data classification within AI Runtime Security — Premium.,Adjacent,1
F00577,P0148,Detection (AI Runtime Security),Differentiator capability providing detection within AI Runtime Security — Premium.,Differentiator,2
F00578,P0148,Sandboxing (AI Runtime Security),Core capability providing sandboxing within AI Runtime Security — Premium.,Core,3
F00579,P0148,Log Retention (AI Runtime Security),Differentiator capability providing log retention within AI Runtime Security — Premium.,Differentiator,2
F00580,P0149,Policy (Advanced DNS Security),Core capability providing policy within Advanced DNS Security — Advanced.,Core,3
F00581,P0149,Detection (Advanced DNS Security),Adjacent capability providing detection within Advanced DNS Security — Advanced.,Adjacent,1
F00582,P0149,Reporting (Advanced DNS Security),Adjacent capability providing reporting within Advanced DNS Security — Advanced.,Adjacent,1
F00583,P0149,Risk Scoring (Advanced DNS Security),Core capability providing risk scoring within Advanced DNS Security — Advanced.,Core,3
F00584,P0149,Playbook Orchestration (Advanced DNS Security),Core capability providing playbook orchestration within Advanced DNS Security — Advanced.,Core,3
F00585,P0150,Threat Hunting (Advanced WildFire),Core capability providing threat hunting within Advanced WildFire — Premium.,Core,3
F00586,P0150,Policy (Advanced WildFire),Core capability providing policy within Advanced WildFire — Premium.,Core,3
F00587,P0150,Anomaly Scoring (Advanced WildFire),Differentiator capability providing anomaly scoring within Advanced WildFire — Premium.,Differentiator,2
F00588,P0150,Risk Scoring (Advanced WildFire),Adjacent capability providing risk scoring within Advanced WildFire — Premium.,Adjacent,1
F00589,P0151,Risk Scoring (NGFW),Core capability providing risk scoring within NGFW — Advanced.,Core,3
F00590,P0151,Reporting (NGFW),Core capability providing reporting within NGFW — Advanced.,Core,3
F00591,P0151,Identity Correlation (NGFW),Differentiator capability providing identity correlation within NGFW — Advanced.,Differentiator,2
F00592,P0151,Incident Timeline (NGFW),Adjacent capability providing incident timeline within NGFW — Advanced.,Adjacent,1
F00593,P0151,Reporting (NGFW),Adjacent capability providing reporting within NGFW — Advanced.,Adjacent,1
F00594,P0152,Threat Hunting (Advanced DNS Security),Core capability providing threat hunting within Advanced DNS Security — Essentials.,Core,3
F00595,P0152,Log Retention (Advanced DNS Security),Core capability providing log retention within Advanced DNS Security — Essentials.,Core,3
F00596,P0152,Identity Correlation (Advanced DNS Security),Core capability providing identity correlation within Advanced DNS Security — Essentials.,Core,3
F00597,P0152,Threat Hunting (Advanced DNS Security),Differentiator capability providing threat hunting within Advanced DNS Security — Essentials.,Differentiator,2
F00598,P0153,Compliance Mapping (AI Posture Management),Core capability providing compliance mapping within AI Posture Management — Premium.,Core,3
F00599,P0153,Threat Hunting (AI Posture Management),Adjacent capability providing threat hunting within AI Posture Management — Premium.,Adjacent,1
F00600,P0153,Compliance Mapping (AI Posture Management),Differentiator capability providing compliance mapping within AI Posture Management — Premium.,Differentiator,2
F00601,P0153,Segmentation (AI Posture Management),Core capability providing segmentation within AI Posture Management — Premium.,Core,3
F00602,P0154,Reporting (Advanced WildFire),Core capability providing reporting within Advanced WildFire — Premium.,Core,3
F00603,P0154,Rule Optimisation (Advanced WildFire),Core capability providing rule optimisation within Advanced WildFire — Premium.,Core,3
F00604,P0154,Compliance Mapping (Advanced WildFire),Adjacent capability providing compliance mapping within Advanced WildFire — Premium.,Adjacent,1
F00605,P0155,Automation (Prisma Browser),Core capability providing automation within Prisma Browser — Essentials.,Core,3
F00606,P0155,Reporting (Prisma Browser),Adjacent capability providing reporting within Prisma Browser — Essentials.,Adjacent,1
F00607,P0155,Log Retention (Prisma Browser),Adjacent capability providing log retention within Prisma Browser — Essentials.,Adjacent,1
F00608,P0156,Reporting (Prisma SD-WAN),Core capability providing reporting within Prisma SD-WAN — Advanced.,Core,3
F00609,P0156,Posture Assessment (Prisma SD-WAN),Differentiator capability providing posture assessment within Prisma SD-WAN — Advanced.,Differentiator,2
F00610,P0156,Detection (Prisma SD-WAN),Adjacent capability providing detection within Prisma SD-WAN — Advanced.,Adjacent,1
F00611,P0156,Anomaly Scoring (Prisma SD-WAN),Differentiator capability providing anomaly scoring within Prisma SD-WAN — Advanced.,Differentiator,2
F00612,P0156,Data Classification (Prisma SD-WAN),Differentiator capability providing data classification within Prisma SD-WAN — Advanced.,Differentiator,2
F00613,P0157,Detection (Autonomous DEM),Core capability providing detection within Autonomous DEM — Advanced.,Core,3
F00614,P0157,Policy (Autonomous DEM),Differentiator capability providing policy within Autonomous DEM — Advanced.,Differentiator,2
F00615,P0157,Inline Analysis (Autonomous DEM),Adjacent capability providing inline analysis within Autonomous DEM — Advanced.,Adjacent,1
F00616,P0157,Posture Assessment (Autonomous DEM),Core capability providing posture assessment within Autonomous DEM — Advanced.,Core,3
F00617,P0157,Segmentation (Autonomous DEM),Adjacent capability providing segmentation within Autonomous DEM — Advanced.,Adjacent,1
F00618,P0158,Automation (AI Posture Management),Core capability providing automation within AI Posture Management — Essentials.,Core,3
F00619,P0158,Data Classification (AI Posture Management),Adjacent capability providing data classification within AI Posture Management — Essentials.,Adjacent,1
F00620,P0158,Segmentation (AI Posture Management),Adjacent capability providing segmentation within AI Posture Management — Essentials.,Adjacent,1
F00621,P0158,Posture Assessment (AI Posture Management),Differentiator capability providing posture assessment within AI Posture Management — Essentials.,Differentiator,2
F00622,P0159,Log Retention (Attack Surface Management),Core capability providing log retention within Attack Surface Management — Essentials.,Core,3
F00623,P0159,Sandboxing (Attack Surface Management),Differentiator capability providing sandboxing within Attack Surface Management — Essentials.,Differentiator,2
F00624,P0159,Compliance Mapping (Attack Surface Management),Adjacent capability providing compliance mapping within Attack Surface Management — Essentials.,Adjacent,1
F00625,P0160,Detection (Advanced Threat Prevention),Core capability providing detection within Advanced Threat Prevention — Premium.,Core,3
F00626,P0160,Posture Assessment (Advanced Threat Prevention),Adjacent capability providing posture assessment within Advanced Threat Prevention — Premium.,Adjacent,1
F00627,P0160,Reporting (Advanced Threat Prevention),Adjacent capability providing reporting within Advanced Threat Prevention — Premium.,Adjacent,1
F00628,P0160,Risk Scoring (Advanced Threat Prevention),Core capability providing risk scoring within Advanced Threat Prevention — Premium.,Core,3
F00629,P0161,Data Classification (SaaS Security),Core capability providing data classification within SaaS Security — Essentials.,Core,3
F00630,P0161,Incident Timeline (SaaS Security),Differentiator capability providing incident timeline within SaaS Security — Essentials.,Differentiator,2
F00631,P0161,Policy (SaaS Security),Adjacent capability providing policy within SaaS Security — Essentials.,Adjacent,1
F00632,P0161,Inline Analysis (SaaS Security),Differentiator capability providing inline analysis within SaaS Security — Essentials.,Differentiator,2
F00633,P0161,Compliance Mapping (SaaS Security),Adjacent capability providing compliance mapping within SaaS Security — Essentials.,Adjacent,1
F00634,P0162,Log Retention (Attack Surface Management),Core capability providing log retention within Attack Surface Management — Essentials.,Core,3
F00635,P0162,Segmentation (Attack Surface Management),Core capability providing segmentation within Attack Surface Management — Essentials.,Core,3
F00636,P0162,Policy (Attack Surface Management),Differentiator capability providing policy within Attack Surface Management — Essentials.,Differentiator,2
F00637,P0162,Identity Correlation (Attack Surface Management),Core capability providing identity correlation within Attack Surface Management — Essentials.,Core,3
F00638,P0163,Segmentation (AI Access Security),Core capability providing segmentation within AI Access Security — Premium.,Core,3
F00639,P0163,Identity Correlation (AI Access Security),Adjacent capability providing identity correlation within AI Access Security — Premium.,Adjacent,1
F00640,P0163,Identity Correlation (AI Access Security),Adjacent capability providing identity correlation within AI Access Security — Premium.,Adjacent,1
F00641,P0163,Incident Timeline (AI Access Security),Adjacent capability providing incident timeline within AI Access Security — Premium.,Adjacent,1
F00642,P0163,Reporting (AI Access Security),Adjacent capability providing reporting within AI Access Security — Premium.,Adjacent,1
F00643,P0164,Sandboxing (IoT Security),Core capability providing sandboxing within IoT Security — Essentials.,Core,3
F00644,P0164,Inline Analysis (IoT Security),Adjacent capability providing inline analysis within IoT Security — Essentials.,Adjacent,1
F00645,P0164,Traffic Inspection (IoT Security),Differentiator capability providing traffic inspection within IoT Security — Essentials.,Differentiator,2
F00646,P0164,Incident Timeline (IoT Security),Differentiator capability providing incident timeline within IoT Security — Essentials.,Differentiator,2
F00647,P0165,Identity Correlation (Attack Surface Management),Core capability providing identity correlation within Attack Surface Management — Advanced.,Core,3
F00648,P0165,Compliance Mapping (Attack Surface Management),Core capability providing compliance mapping within Attack Surface Management — Advanced.,Core,3
F00649,P0165,Compliance Mapping (Attack Surface Management),Adjacent capability providing compliance mapping within Attack Surface Management — Advanced.,Adjacent,1
F00650,P0166,Alert Triage (Advanced Threat Prevention),Core capability providing alert triage within Advanced Threat Prevention — Premium.,Core,3
F00651,P0166,Segmentation (Advanced Threat Prevention),Core capability providing segmentation within Advanced Threat Prevention — Premium.,Core,3
F00652,P0166,Log Retention (Advanced Threat Prevention),Differentiator capability providing log retention within Advanced Threat Prevention — Premium.,Differentiator,2
F00653,P0167,Sandboxing (Advanced WildFire),Core capability providing sandboxing within Advanced WildFire — Advanced.,Core,3
F00654,P0167,Sandboxing (Advanced WildFire),Differentiator capability providing sandboxing within Advanced WildFire — Advanced.,Differentiator,2
F00655,P0167,Alert Triage (Advanced WildFire),Adjacent capability providing alert triage within Advanced WildFire — Advanced.,Adjacent,1
F00656,P0168,Playbook Orchestration (SaaS Security),Core capability providing playbook orchestration within SaaS Security — Essentials.,Core,3
F00657,P0168,Automation (SaaS Security),Differentiator capability providing automation within SaaS Security — Essentials.,Differentiator,2
F00658,P0168,Compliance Mapping (SaaS Security),Adjacent capability providing compliance mapping within SaaS Security — Essentials.,Adjacent,1
F00659,P0169,Policy (Cortex XSOAR),Core capability providing policy within Cortex XSOAR — Advanced.,Core,3
F00660,P0169,Reporting (Cortex XSOAR),Differentiator capability providing reporting within Cortex XSOAR — Advanced.,Differentiator,2
F00661,P0169,Sandboxing (Cortex XSOAR),Adjacent capability providing sandboxing within Cortex XSOAR — Advanced.,Adjacent,1
F00662,P0169,Risk Scoring (Cortex XSOAR),Adjacent capability providing risk scoring within Cortex XSOAR — Advanced.,Adjacent,1
F00663,P0170,Automation (Advanced WildFire),Core capability providing automation within Advanced WildFire — Advanced.,Core,3
F00664,P0170,Incident Timeline (Advanced WildFire),Adjacent capability providing incident timeline within Advanced WildFire — Advanced.,Adjacent,1
F00665,P0170,Incident Timeline (Advanced WildFire),Core capability providing incident timeline within Advanced WildFire — Advanced.,Core,3
F00666,P0171,Segmentation (Cortex Cloud),Core capability providing segmentation within Cortex Cloud — Essentials.,Core,3
F00667,P0171,Data Classification (Cortex Cloud),Differentiator capability providing data classification within Cortex Cloud — Essentials.,Differentiator,2
F00668,P0171,Detection (Cortex Cloud),Differentiator capability providing detection within Cortex Cloud — Essentials.,Differentiator,2
F00669,P0171,Alert Triage (Cortex Cloud),Differentiator capability providing alert triage within Cortex Cloud — Essentials.,Differentiator,2
F00670,P0171,Playbook Orchestration (Cortex Cloud),Adjacent capability providing playbook orchestration within Cortex Cloud — Essentials.,Adjacent,1
F00671,P0172,Data Classification (Advanced Threat Prevention),Core capability providing data classification within Advanced Threat Prevention — Essentials.,Core,3
F00672,P0172,Playbook Orchestration (Advanced Threat Prevention),Adjacent capability providing playbook orchestration within Advanced Threat Prevention — Essentials.,Adjacent,1
F00673,P0172,Reporting (Advanced Threat Prevention),Adjacent capability providing reporting within Advanced Threat Prevention — Essentials.,Adjacent,1
F00674,P0172,Reporting (Advanced Threat Prevention),Differentiator capability providing reporting within Advanced Threat Prevention — Essentials.,Differentiator,2
F00675,P0173,Anomaly Scoring (Autonomous DEM),Core capability providing anomaly scoring within Autonomous DEM — Advanced.,Core,3
F00676,P0173,Traffic Inspection (Autonomous DEM),Differentiator capability providing traffic inspection within Autonomous DEM — Advanced.,Differentiator,2
F00677,P0173,Identity Correlation (Autonomous DEM),Differentiator capability providing identity correlation within Autonomous DEM — Advanced.,Differentiator,2
F00678,P0173,Data Classification (Autonomous DEM),Adjacent capability providing data classification within Autonomous DEM — Advanced.,Adjacent,1
F00679,P0173,Reporting (Autonomous DEM),Adjacent capability providing reporting within Autonomous DEM — Advanced.,Adjacent,1
F00680,P0174,Risk Scoring (Advanced DNS Security),Core capability providing risk scoring within Advanced DNS Security — Premium.,Core,3
F00681,P0174,Reporting (Advanced DNS Security),Adjacent capability providing reporting within Advanced DNS Security — Premium.,Adjacent,1
F00682,P0174,Log Retention (Advanced DNS Security),Differentiator capability providing log retention within Advanced DNS Security — Premium.,Differentiator,2
F00683,P0175,Threat Hunting (IoT Security),Core capability providing threat hunting within IoT Security — Premium.,Core,3
F00684,P0175,Segmentation (IoT Security),Differentiator capability providing segmentation within IoT Security — Premium.,Differentiator,2
F00685,P0175,Reporting (IoT Security),Core capability providing reporting within IoT Security — Premium.,Core,3
F00686,P0175,Risk Scoring (IoT Security),Adjacent capability providing risk scoring within IoT Security — Premium.,Adjacent,1
F00687,P0175,Detection (IoT Security),Differentiator capability providing detection within IoT Security — Premium.,Differentiator,2
F00688,P0176,Rule Optimisation (Cortex Cloud),Core capability providing rule optimisation within Cortex Cloud — Advanced.,Core,3
F00689,P0176,Identity Correlation (Cortex Cloud),Adjacent capability providing identity correlation within Cortex Cloud — Advanced.,Adjacent,1
F00690,P0176,Inline Analysis (Cortex Cloud),Adjacent capability providing inline analysis within Cortex Cloud — Advanced.,Adjacent,1
F00691,P0176,Compliance Mapping (Cortex Cloud),Adjacent capability providing compliance mapping within Cortex Cloud — Advanced.,Adjacent,1
F00692,P0176,Policy (Cortex Cloud),Differentiator capability providing policy within Cortex Cloud — Advanced.,Differentiator,2
F00693,P0177,Identity Correlation (Enterprise DLP),Core capability providing identity correlation within Enterprise DLP — Advanced.,Core,3
F00694,P0177,Posture Assessment (Enterprise DLP),Adjacent capability providing posture assessment within Enterprise DLP — Advanced.,Adjacent,1
F00695,P0177,Rule Optimisation (Enterprise DLP),Adjacent capability providing rule optimisation within Enterprise DLP — Advanced.,Adjacent,1
F00696,P0177,Posture Assessment (Enterprise DLP),Differentiator capability providing posture assessment within Enterprise DLP — Advanced.,Differentiator,2
F00697,P0177,Inline Analysis (Enterprise DLP),Adjacent capability providing inline analysis within Enterprise DLP — Advanced.,Adjacent,1
F00698,P0178,Segmentation (Autonomous DEM),Core capability providing segmentation within Autonomous DEM — Advanced.,Core,3
F00699,P0178,Identity Correlation (Autonomous DEM),Differentiator capability providing identity correlation within Autonomous DEM — Advanced.,Differentiator,2
F00700,P0178,Sandboxing (Autonomous DEM),Adjacent capability providing sandboxing within Autonomous DEM — Advanced.,Adjacent,1
F00701,P0179,Log Retention (AI Runtime Security),Core capability providing log retention within AI Runtime Security — Essentials.,Core,3
F00702,P0179,Sandboxing (AI Runtime Security),Adjacent capability providing sandboxing within AI Runtime Security — Essentials.,Adjacent,1
F00703,P0179,Segmentation (AI Runtime Security),Adjacent capability providing segmentation within AI Runtime Security — Essentials.,Adjacent,1
F00704,P0179,Anomaly Scoring (AI Runtime Security),Adjacent capability providing anomaly scoring within AI Runtime Security — Essentials.,Adjacent,1
F00705,P0180,Identity Correlation (NGFW),Core capability providing identity correlation within NGFW — Premium.,Core,3
F00706,P0180,Anomaly Scoring (NGFW),Adjacent capability providing anomaly scoring within NGFW — Premium.,Adjacent,1
F00707,P0180,Traffic Inspection (NGFW),Core capability providing traffic inspection within NGFW — Premium.,Core,3
F00708,P0180,Segmentation (NGFW),Adjacent capability providing segmentation within NGFW — Premium.,Adjacent,1
F00709,P0181,Anomaly Scoring (SaaS Security),Core capability providing anomaly scoring within SaaS Security — Premium.,Core,3
F00710,P0181,Data Classification (SaaS Security),Adjacent capability providing data classification within SaaS Security — Premium.,Adjacent,1
F00711,P0181,Inline Analysis (SaaS Security),Adjacent capability providing inline analysis within SaaS Security — Premium.,Adjacent,1
F00712,P0181,Posture Assessment (SaaS Security),Differentiator capability providing posture assessment within SaaS Security — Premium.,Differentiator,2
F00713,P0181,Identity Correlation (SaaS Security),Differentiator capability providing identity correlation within SaaS Security — Premium.,Differentiator,2
F00714,P0182,Compliance Mapping (Autonomous DEM),Core capability providing compliance mapping within Autonomous DEM — Advanced.,Core,3
F00715,P0182,Rule Optimisation (Autonomous DEM),Adjacent capability providing rule optimisation within Autonomous DEM — Advanced.,Adjacent,1
F00716,P0182,Rule Optimisation (Autonomous DEM),Differentiator capability providing rule optimisation within Autonomous DEM — Advanced.,Differentiator,2
F00717,P0182,Risk Scoring (Autonomous DEM),Core capability providing risk scoring within Autonomous DEM — Advanced.,Core,3
F00718,P0182,Traffic Inspection (Autonomous DEM),Differentiator capability providing traffic inspection within Autonomous DEM — Advanced.,Differentiator,2
F00719,P0183,Reporting (AI Model Scanning),Core capability providing reporting within AI Model Scanning — Advanced.,Core,3
F00720,P0183,Policy (AI Model Scanning),Adjacent capability providing policy within AI Model Scanning — Advanced.,Adjacent,1
F00721,P0183,Sandboxing (AI Model Scanning),Differentiator capability providing sandboxing within AI Model Scanning — Advanced.,Differentiator,2
F00722,P0183,Inline Analysis (AI Model Scanning),Core capability providing inline analysis within AI Model Scanning — Advanced.,Core,3
F00723,P0184,Posture Assessment (Prisma SD-WAN),Core capability providing posture assessment within Prisma SD-WAN — Premium.,Core,3
F00724,P0184,Anomaly Scoring (Prisma SD-WAN),Adjacent capability providing anomaly scoring within Prisma SD-WAN — Premium.,Adjacent,1
F00725,P0184,Log Retention (Prisma SD-WAN),Differentiator capability providing log retention within Prisma SD-WAN — Premium.,Differentiator,2
F00726,P0185,Anomaly Scoring (SaaS Security),Core capability providing anomaly scoring within SaaS Security — Advanced.,Core,3
F00727,P0185,Threat Hunting (SaaS Security),Adjacent capability providing threat hunting within SaaS Security — Advanced.,Adjacent,1
F00728,P0185,Traffic Inspection (SaaS Security),Adjacent capability providing traffic inspection within SaaS Security — Advanced.,Adjacent,1
F00729,P0186,Incident Timeline (Advanced WildFire),Core capability providing incident timeline within Advanced WildFire — Premium.,Core,3
F00730,P0186,Traffic Inspection (Advanced WildFire),Differentiator capability providing traffic inspection within Advanced WildFire — Premium.,Differentiator,2
F00731,P0186,Alert Triage (Advanced WildFire),Differentiator capability providing alert triage within Advanced WildFire — Premium.,Differentiator,2
F00732,P0187,Anomaly Scoring (Exposure Management),Core capability providing anomaly scoring within Exposure Management — Premium.,Core,3
F00733,P0187,Detection (Exposure Management),Adjacent capability providing detection within Exposure Management — Premium.,Adjacent,1
F00734,P0187,Sandboxing (Exposure Management),Differentiator capability providing sandboxing within Exposure Management — Premium.,Differentiator,2
F00735,P0187,Sandboxing (Exposure Management),Differentiator capability providing sandboxing within Exposure Management — Premium.,Differentiator,2
F00736,P0187,Risk Scoring (Exposure Management),Adjacent capability providing risk scoring within Exposure Management — Premium.,Adjacent,1
F00737,P0188,Incident Timeline (AI Model Scanning),Core capability providing incident timeline within AI Model Scanning — Essentials.,Core,3
F00738,P0188,Playbook Orchestration (AI Model Scanning),Differentiator capability providing playbook orchestration within AI Model Scanning — Essentials.,Differentiator,2
F00739,P0188,Alert Triage (AI Model Scanning),Adjacent capability providing alert triage within AI Model Scanning — Essentials.,Adjacent,1
F00740,P0188,Data Classification (AI Model Scanning),Core capability providing data classification within AI Model Scanning — Essentials.,Core,3
F00741,P0188,Rule Optimisation (AI Model Scanning),Differentiator capability providing rule optimisation within AI Model Scanning — Essentials.,Differentiator,2
F00742,P0189,Playbook Orchestration (Cortex XSOAR),Core capability providing playbook orchestration within Cortex XSOAR — Advanced.,Core,3
F00743,P0189,Posture Assessment (Cortex XSOAR),Adjacent capability providing posture assessment within Cortex XSOAR — Advanced.,Adjacent,1
F00744,P0189,Automation (Cortex XSOAR),Differentiator capability providing automation within Cortex XSOAR — Advanced.,Differentiator,2
F00745,P0189,Posture Assessment (Cortex XSOAR),Adjacent capability providing posture assessment within Cortex XSOAR — Advanced.,Adjacent,1
F00746,P0189,Posture Assessment (Cortex XSOAR),Differentiator capability providing posture assessment within Cortex XSOAR — Advanced.,Differentiator,2
F00747,P0190,Inline Analysis (Advanced Threat Prevention),Core capability providing inline analysis within Advanced Threat Prevention — Premium.,Core,3
F00748,P0190,Posture Assessment (Advanced Threat Prevention),Differentiator capability providing posture assessment within Advanced Threat Prevention — Premium.,Differentiator,2
F00749,P0190,Rule Optimisation (Advanced Threat Prevention),Differentiator capability providing rule optimisation within Advanced Threat Prevention — Premium.,Differentiator,2
F00750,P0190,Log Retention (Advanced Threat Prevention),Differentiator capability providing log retention within Advanced Threat Prevention — Premium.,Differentiator,2
F00751,P0190,Policy (Advanced Threat Prevention),Adjacent capability providing policy within Advanced Threat Prevention — Premium.,Adjacent,1
F00752,P0191,Segmentation (Cortex XSIAM),Core capability providing segmentation within Cortex XSIAM — Essentials.,Core,3
F00753,P0191,Incident Timeline (Cortex XSIAM),Differentiator capability providing incident timeline within Cortex XSIAM — Essentials.,Differentiator,2
F00754,P0191,Detection (Cortex XSIAM),Adjacent capability providing detection within Cortex XSIAM — Essentials.,Adjacent,1
F00755,P0191,Incident Timeline (Cortex XSIAM),Core capability providing incident timeline within Cortex XSIAM — Essentials.,Core,3
F00756,P0192,Segmentation (Advanced WildFire),Core capability providing segmentation within Advanced WildFire — Advanced.,Core,3
F00757,P0192,Identity Correlation (Advanced WildFire),Differentiator capability providing identity correlation within Advanced WildFire — Advanced.,Differentiator,2
F00758,P0192,Alert Triage (Advanced WildFire),Adjacent capability providing alert triage within Advanced WildFire — Advanced.,Adjacent,1
F00759,P0192,Posture Assessment (Advanced WildFire),Adjacent capability providing posture assessment within Advanced WildFire — Advanced.,Adjacent,1
F00760,P0192,Identity Correlation (Advanced WildFire),Core capability providing identity correlation within Advanced WildFire — Advanced.,Core,3
F00761,P0193,Traffic Inspection (Attack Surface Management),Core capability providing traffic inspection within Attack Surface Management — Premium.,Core,3
F00762,P0193,Traffic Inspection (Attack Surface Management),Adjacent capability providing traffic inspection within Attack Surface Management — Premium.,Adjacent,1
F00763,P0193,Sandboxing (Attack Surface Management),Differentiator capability providing sandboxing within Attack Surface Management — Premium.,Differentiator,2
F00764,P0194,Segmentation (Advanced Threat Prevention),Core capability providing segmentation within Advanced Threat Prevention — Premium.,Core,3
F00765,P0194,Segmentation (Advanced Threat Prevention),Differentiator capability providing segmentation within Advanced Threat Prevention — Premium.,Differentiator,2
F00766,P0194,Data Classification (Advanced Threat Prevention),Adjacent capability providing data classification within Advanced Threat Prevention — Premium.,Adjacent,1
F00767,P0195,Traffic Inspection (Enterprise DLP),Core capability providing traffic inspection within Enterprise DLP — Advanced.,Core,3
F00768,P0195,Policy (Enterprise DLP),Differentiator capability providing policy within Enterprise DLP — Advanced.,Differentiator,2
F00769,P0195,Reporting (Enterprise DLP),Adjacent capability providing reporting within Enterprise DLP — Advanced.,Adjacent,1
F00770,P0195,Data Classification (Enterprise DLP),Differentiator capability providing data classification within Enterprise DLP — Advanced.,Differentiator,2
F00771,P0196,Alert Triage (Advanced DNS Security),Core capability providing alert triage within Advanced DNS Security — Essentials.,Core,3
F00772,P0196,Detection (Advanced DNS Security),Differentiator capability providing detection within Advanced DNS Security — Essentials.,Differentiator,2
F00773,P0196,Segmentation (Advanced DNS Security),Adjacent capability providing segmentation within Advanced DNS Security — Essentials.,Adjacent,1
F00774,P0196,Sandboxing (Advanced DNS Security),Adjacent capability providing sandboxing within Advanced DNS Security — Essentials.,Adjacent,1
F00775,P0197,Anomaly Scoring (Attack Surface Management),Core capability providing anomaly scoring within Attack Surface Management — Advanced.,Core,3
F00776,P0197,Policy (Attack Surface Management),Differentiator capability providing policy within Attack Surface Management — Advanced.,Differentiator,2
F00777,P0197,Identity Correlation (Attack Surface Management),Differentiator capability providing identity correlation within Attack Surface Management — Advanced.,Differentiator,2
F00778,P0198,Anomaly Scoring (Advanced Threat Prevention),Core capability providing anomaly scoring within Advanced Threat Prevention — Advanced.,Core,3
F00779,P0198,Threat Hunting (Advanced Threat Prevention),Differentiator capability providing threat hunting within Advanced Threat Prevention — Advanced.,Differentiator,2
F00780,P0198,Segmentation (Advanced Threat Prevention),Differentiator capability providing segmentation within Advanced Threat Prevention — Advanced.,Differentiator,2
F00781,P0198,Identity Correlation (Advanced Threat Prevention),Differentiator capability providing identity correlation within Advanced Threat Prevention — Advanced.,Differentiator,2
F00782,P0199,Traffic Inspection (Advanced Threat Prevention),Core capability providing traffic inspection within Advanced Threat Prevention — Essentials.,Core,3
F00783,P0199,Traffic Inspection (Advanced Threat Prevention),Adjacent capability providing traffic inspection within Advanced Threat Prevention — Essentials.,Adjacent,1
F00784,P0199,Policy (Advanced Threat Prevention),Differentiator capability providing policy within Advanced Threat Prevention — Essentials.,Differentiator,2
F00785,P0200,Risk Scoring (Advanced WildFire),Core capability providing risk scoring within Advanced WildFire — Premium.,Core,3
F00786,P0200,Reporting (Advanced WildFire),Core capability providing reporting within Advanced WildFire — Premium.,Core,3
F00787,P0200,Threat Hunting (Advanced WildFire),Adjacent capability providing threat hunting within Advanced WildFire — Premium.,Adjacent,1
F00788,P0200,Traffic Inspection (Advanced WildFire),Adjacent capability providing traffic inspection within Advanced WildFire — Premium.,Adjacent,1
F00789,P0200,Risk Scoring (Advanced WildFire),Adjacent capability providing risk scoring within Advanced WildFire — Premium.,Adjacent,1
F00790,P0201,Segmentation (Prisma SD-WAN),Core capability providing segmentation within Prisma SD-WAN — Premium.,Core,3
F00791,P0201,Detection (Prisma SD-WAN),Adjacent capability providing detection within Prisma SD-WAN — Premium.,Adjacent,1
F00792,P0201,Automation (Prisma SD-WAN),Core capability providing automation within Prisma SD-WAN — Premium.,Core,3
F00793,P0201,Automation (Prisma SD-WAN),Adjacent capability providing automation within Prisma SD-WAN — Premium.,Adjacent,1
F00794,P0201,Detection (Prisma SD-WAN),Core capability providing detection within Prisma SD-WAN — Premium.,Core,3
F00795,P0202,Rule Optimisation (Enterprise DLP),Core capability providing rule optimisation within Enterprise DLP — Premium.,Core,3
F00796,P0202,Alert Triage (Enterprise DLP),Adjacent capability providing alert triage within Enterprise DLP — Premium.,Adjacent,1
F00797,P0202,Log Retention (Enterprise DLP),Adjacent capability providing log retention within Enterprise DLP — Premium.,Adjacent,1
F00798,P0203,Policy (AI Model Scanning),Core capability providing policy within AI Model Scanning — Premium.,Core,3
F00799,P0203,Sandboxing (AI Model Scanning),Differentiator capability providing sandboxing within AI Model Scanning — Premium.,Differentiator,2
F00800,P0203,Reporting (AI Model Scanning),Adjacent capability providing reporting within AI Model Scanning — Premium.,Adjacent,1
F00801,P0203,Traffic Inspection (AI Model Scanning),Differentiator capability providing traffic inspection within AI Model Scanning — Premium.,Differentiator,2
F00802,P0204,Rule Optimisation (Autonomous DEM),Core capability providing rule optimisation within Autonomous DEM — Advanced.,Core,3
F00803,P0204,Detection (Autonomous DEM),Adjacent capability providing detection within Autonomous DEM — Advanced.,Adjacent,1
F00804,P0204,Automation (Autonomous DEM),Adjacent capability providing automation within Autonomous DEM — Advanced.,Adjacent,1
